County,Beds
Coweta,250.0
Crisp,65.0
Dade,36.0
DeKalb,1957.0
Decatur,80.0
Dodge,40.0
Dougherty,409.0
Douglas,102.0
Early,15.0
Effingham,25.0
Elbert,52.0
Emanuel,45.0
Evans,49.0
Fannin,50.0
Fayette,221.0
Floyd,435.0
Forsyth,304.0
Franklin,56.0
Fulton,3805.0
Glynn,401.0
Gordon,69.0
Grady,46.0
Greene,50.0
Gwinnett,945.0
Habersham,53.0
Hall,545.0
Haralson,15.0
Henry,215.0
Houston,276.0
Irwin,34.0
Jackson,28.0
Jasper,12.0
Jeff Davis,25.0
Jefferson,37.0
Jenkins,15.0
Lanier,25.0
Laurens,145.0
Liberty,64.0
Lowndes,377.0
Macon,22.0
McDuffie,25.0
Meriwether,109.0
Miller,25.0
Mitchell,25.0
Monroe,25.0
Morgan,25.0
Murray,29.0
Muscogee,794.0
Newton,94.0
Paulding,112.0
Peach,25.0
Pickens,52.0
Polk,25.0
Pulaski,55.0
Rabun,25.0
Randolph,25.0
Richmond,2424.0
Rockdale,138.0
Screven,25.0
Seminole,45.0
Spalding,160.0
Stephens,74.0
Sumter,54.0
Tattnall,25.0
Thomas,226.0
Tift,181.0
Toombs,52.0
Towns,25.0
Troup,276.0
Union,39.0
Upson,87.0
Walton,164.0
Ware,134.0
Washington,56.0
Wayne,88.0
Whitfield,246.0
Wilkes,25.0
Worth,25.0
Hawaii,296.0
Honolulu,2716.0
Kauai,102.0
Maui,247.0
Adair,25.0
Adams,22.0
Allamakee,25.0
Appanoose,25.0
Audubon,25.0
Benton,25.0
Black Hawk,384.0
Boone,25.0
Bremer,37.0
Buchanan,85.0
Buena Vista,25.0
Calhoun,25.0
Carroll,66.0
Cass,25.0
Cerro Gordo,205.0
Cherokee,61.0
Chickasaw,8.0
Clarke,25.0
Clay,49.0
Clayton,40.0
Clinton,120.0
Crawford,25.0
Dallas,25.0
Davis,25.0
Decatur,11.0
Delaware,25.0
Des Moines,136.0
Dickinson,44.0
Dubuque,257.0
Emmet,22.0
Fayette,50.0
Floyd,25.0
Franklin,25.0
Fremont,25.0
Greene,25.0
Grundy,25.0
Guthrie,25.0
Hamilton,25.0
Hancock,25.0
Hardin,19.0
Harrison,25.0
Henry,25.0
Howard,18.0
Humboldt,17.0
Ida,25.0
Iowa,25.0
Jackson,25.0
Jasper,48.0
Jefferson,25.0
Johnson,962.0
Jones,22.0
Keokuk,25.0
Kossuth,24.0
Lee,99.0
Linn,495.0
Lucas,25.0
Lyon,11.0
Madison,25.0
Mahaska,25.0
Marion,50.0
Marshall,41.0
Mitchell,25.0
Monona,25.0
Monroe,25.0
Montgomery,25.0
Muscatine,45.0
O'Brien,39.0
Osceola,25.0
Page,50.0
Palo Alto,24.0
Plymouth,25.0
Pocahontas,25.0
Polk,1520.0
Pottawattamie,255.0
Poweshiek,49.0
Ringgold,16.0
Sac,25.0
Scott,432.0
Shelby,25.0
Sioux,94.0
Story,175.0
Union,25.0
Van Buren,25.0
Wapello,88.0
Washington,25.0
Wayne,25.0
Webster,46.0
Winneshiek,25.0
Woodbury,316.0
Wright,47.0
Ada,1195.0
Bannock,137.0
Bear Lake,21.0
Benewah,19.0
Bingham,131.0
Blaine,25.0
Bonner,25.0
Bonneville,267.0
Boundary,20.0
Butte,14.0
Canyon,282.0
Caribou,25.0
Cassia,31.0
Clearwater,78.0
Elmore,21.0
Franklin,20.0
Gem,13.0
Gooding,16.0
Idaho,40.0
Jerome,25.0
Kootenai,401.0
Latah,25.0
Lemhi,18.0
Madison,67.0
Minidoka,16.0
Nez Perce,110.0
Oneida,11.0
Power,10.0
Shoshone,21.0
Teton,13.0
Twin Falls,186.0
Valley,23.0
Washington,19.0
Adams,248.0
Bond,32.0
Bureau,69.0
Champaign,637.0
Christian,47.0
Clay,20.0
Clinton,46.0
Coles,82.0
Cook,15382.0
Crawford,25.0
De Witt,15.0
DeKalb,192.0
DuPage,1723.0
Edgar,25.0
Effingham,133.0
Fayette,29.0
Ford,25.0
Franklin,16.0
Fulton,43.0
Greene,25.0
Grundy,89.0
Hamilton,25.0
Hancock,18.0
Hardin,25.0
Henry,50.0
Iroquois,25.0
Jackson,179.0
Jefferson,171.0
Jersey,46.0
Jo Daviess,18.0
Kane,1306.0
Kankakee,460.0
